mod_folder	version_installed	download_url	archive_path	notes
EEFIXPACK	TODO	TODO	TODO	
EET	TODO	TODO	TODO	
EEEX	TODO	TODO	TODO	
BUBB_SPELL_MENU_EXTENDED	TODO	TODO	TODO	
BGGO	TODO	TODO	TODO	
HIDDENGAMEPLAYOPTIONS	TODO	TODO	TODO	
RR	TODO	TODO	TODO	
BRANWEN	TODO	TODO	TODO	
EVANDRA	TODO	TODO	TODO	
FADE	TODO	TODO	TODO	
PAINA	TODO	TODO	TODO	
BRISTLELICK	TODO	TODO	TODO	
SARAHTOB	TODO	TODO	TODO	
AURA_BG1_2_EET	TODO	TODO	TODO	
UB	TODO	TODO	TODO	
XAN	TODO	TODO	TODO	
YESLICKNPC	TODO	TODO	TODO	
AJANTISBG2	TODO	TODO	TODO	
SIRENE_BG2	TODO	TODO	TODO	
WINGS	TODO	TODO	TODO	
ASCENSION	TODO	TODO	TODO	
SPELL_REV	TODO	TODO	TODO	
ARTISANSKITPACK	TODO	TODO	TODO	
BARDICWONDERS	TODO	TODO	TODO	
ARTISANSKITPACK_NPC	TODO	TODO	TODO	
IWDIFICATION	TODO	TODO	TODO	
IEPBANTERS	TODO	TODO	TODO	
CROSSMODBG2	TODO	TODO	TODO	
ARTISANSKITPACK_TWEAK	TODO	TODO	TODO	
BASTIL	TODO	TODO	TODO	
AW_PF_SOUNDSETS	TODO	TODO	TODO	
HQ_SOUNDCLIPS_BG2EE	TODO	TODO	TODO	
C0WARLOCK	TODO	TODO	TODO	
RANDOMISER	TODO	TODO	TODO	
CDTWEAKS	TODO	TODO	TODO	
STRATAGEMS	TODO	TODO	TODO	
EET_END	TODO	TODO	TODO	
NPC_KIT_CHANGES	TODO	TODO	TODO	
BARD_SPELL_FIX	TODO	TODO	TODO	
EVANDRA_SORCERER	TODO	TODO	TODO	
SKIE_SKILL_FIX	TODO	TODO	TODO	
SAFANA_SNARE_FIX	TODO	TODO	TODO	
MAZZY_PROF_FIX	TODO	TODO	TODO	
VICONIA_MULTICLASS	TODO	TODO	TODO	
CD_RUMIKP	TODO	TODO	TODO	
ALORA	TODO	TODO	TODO	
AK_MULTICLASS_PROFS_FIX	TODO	TODO	TODO	
XAN_EK_FIX	TODO	TODO	TODO	
CD_AJANTI	TODO	TODO	TODO	
CD_DRANGER	TODO	TODO	TODO	
EDWIN_AMULET_FIX	TODO	TODO	TODO	
KIVAN_QUEST_FIX	TODO	TODO	TODO	
SR_SUBSPELL_FIX	TODO	TODO	TODO	
AURA_BALANCE_PATCH	TODO	TODO	TODO	
BEARSKIN_MAIL_FIX	TODO	TODO	TODO	
AURA_BALANCE_PATCH_SPELLS	TODO	TODO	TODO	
BRANWEN_HAMMER_FIX	TODO	TODO	TODO	
BG2EE-EET-FIXPACK	TODO	TODO	TODO	
XAN_SOUNDSET	TODO	TODO	TODO	
RONDAK	TODO	TODO	TODO	
ELEM_PRINCE_CLAB_FIX	TODO	TODO	TODO	
YESLICK_KELDORN_DISPEL_FIX	TODO	TODO	TODO	
ZG_BGNPC_VOICES_BGS	TODO	TODO	TODO	
FADE_FT_FIX	TODO	TODO	TODO	
EET_TWEAKS	TODO	TODO	TODO	
CD_NEERA	TODO	TODO	TODO	
FADE_FT_PATCH	TODO	TODO	TODO	
CD_SAFANA	TODO	TODO	TODO	
CD_JAHEBG1	TODO	TODO	TODO	
CD_JAHEBG2	TODO	TODO	TODO	
CD_YESLICK	TODO	TODO	TODO	
CD_EDWNBG1	TODO	TODO	TODO	
CD_EDWNBG2	TODO	TODO	TODO	
CD_AERIE	TODO	TODO	TODO	
CD_SAFSOD	TODO	TODO	TODO	
__EXTRACT	TODO	TODO	TODO	
__IDS	TODO	TODO	TODO	
CHRIZ-BG-MODPACK	TODO	TODO	TODO	
CBM_UAI_SCROLL	TODO	TODO	TODO	
SAFANA	TODO	TODO	TODO	
SAFANA_LATE_SPELLS	TODO	TODO	TODO	
CD_IMOBG1	TODO	TODO	TODO	
CD_IMOBG2	TODO	TODO	TODO	
PRIEST_DELIVERY_FIX	TODO	TODO	TODO	
